en	ru	clusters
A Romanian economic mission was to visit Saudi Arabia and Bahrain in November 2007, meeting with the chambers of commerce and industry in Jeddah, Riyadh, Dammam and Bahrain.	В ноябре 2007 года экономисты из Румынии посетили Саудовскую Аравию и Бахрейн, где провели встречи в торгово-промышленных палатах в Джидде, Эр-Рияде, Эд-Даммаме и Бахрейне.	Arab world
A Treaty of Amity was signed between Iran and Japan in 1939, and cordial relations were maintained during World War II until 1942, when the Allies invaded Persia.	В 1939 году был подписан договор о дружбе, и теплые отношения между Ираном и Японией поддерживались во время Второй Мировой войны до 1942 года, когда союзники вторглись в Персию.	World Wars
"A bit latter, in 1997, the cricket eggs under name ""Gryllus argentinus"" came from Paris Museum of Natural History to St. Petersburg."	Позже, в 1997 г., яйца сверчков под именем «Gryllus argentinus» были привезены из Парижского Музея естественной истории в Санкт-Петербург.	Russia
A classic example is Germany; unified from many smaller entities, then divided into multiple zones of occupation at the end of World War II, then divided into West Germany and East Germany, then reunified.	Классическим примером служит Германия, которая возникла после объединения множества небольших субъектов, затем была поделена на несколько оккупационных зон после окончания Второй мировой войны, затем разделилась на Западную и Восточную Германию (ГДР) и впоследствии снова объединилась.	World Wars
A conference in Saudi Arabia in 2002 set up a unified braille standard for Arabic, but as of 2013 not all countries had signed up; those not adopting the standard include some Arab countries but also non-Arab Muslim countries such as Iran, Malaysia, and Indonesia.	На конференции в Саудовской Аравии в 2002 году был принят единый стандарт шрифта Брайля для арабского языка, но по состоянию на 2013 год его приняли не все арабские страны, и, кроме того, к нему не присоединились некоторые мусульманские страны, включая Иран, Малайзию и Индонезию.	Arab world
A euro collapse would damage London's role as a major financial centre because of the increased risk to UK banks.	Крах евро может нанести ущерб роли Лондона как мирового финансового центра из-за увеличения рисков банков Великобритании.	Medical
A few Italian settlers stayed in Portuguese colonies in Africa after World War II.	Ряд немецких поселенцев остался в португальских колониях Африки после Второй мировой войны.	World Wars
A few of these schools, especially the Italian and French ones, continued to function after World War I and played a significant role in introducing Western educational methods and principles.	Некоторые из этих школ (особенно итальянские и французские) продолжали функционировать после Первой мировой войны и сыграли значительную роль в деле внедрения западных образовательных методов и принципов.	World Wars
A few weeks before the start of World War I, the 2nd Battalion of the Argylls and the Band were stationed at Fort George in North-East Scotland, nine miles from Inverness.	За несколько недель до начала Первой мировой войны 2-й батальон аргайлцев и оркестр были расквартирована в Форт-Джордж на северо-востоке Шотландии, в девяти милях от города Инвернесс.	World Wars
A few years after World War II, diplomatic relations between Ethiopia and Mexico were established in 1949.	Спустя пару лет после Второй Мировой войны, в 1949 году между Мексикой и Эфиопией были установлены дипломатические отношения.	World Wars
A former fighter pilot in World War I, Germer subsequently worked at Bell Labs in New Jersey.	Бывший лётчик-истребитель в Первой мировой войне, впоследствии работал у Джермера в Bell Labs в Нью-Джерси.	World Wars
A great deal of physical and financial damage was done during the world wars, foreign investments were cashed in to pay for the wars, the Russian Bolsheviks expropriated large-scale investments, postwar inflation demolished cash holdings, stocks and bonds plunged during the Great Depression, and progressive taxes ate away at accumulated wealth.	Большой физический и финансовый ущерб был нанесён во время обеих мировых войн, иностранные инвестиции были обналичены, чтобы заплатить за войну, российские большевики экспроприировали крупномасштабные инвестиции, послевоенная инфляция обрушила денежные запасы, акции и облигации, упавшие дополнительно также во время Великой депрессии, а прогрессивные налоги съели накопленное богатство.	World Wars
A large number of Muslim religious students and clerics also regularly travel to Saudi Arabia for study and religious work.	Большое количество религиозных студентов и священнослужителей также регулярно посещают Саудовскую Аравию для повышения культурного уровня.	Arab world
A month later, having decided that everything had quieted down, Igor returned to St. Petersburg, where on November 28, 1994, he was detained by law enforcement agencies, which by that time had amassed a vast amount of evidence against him.	Через месяц, решив что всё утихло, Игорь вернулся в Санкт-Петербург, где 28 ноября 1994 года был задержан правоохранительными органами, которые к этому времени имели на него обширную доказательную базу.	Russia
A name of Tarabin derives from the Taraba valley in Saudi Arabia where this tribe has once settled.	Название Тарабин происходит от долины Тараба в Саудовской Аравии, где когда-то проживало это племя.	Arab world
A national Remembrance of the Dead ceremony is held at the monument every year on 4 May to commemorate the casualties of World War II and subsequent armed conflicts.	Каждый год 4 мая у этого памятника проводится национальная церемония поминовения жертв Второй мировой войны и последующих вооружённых конфликтов.	World Wars
A new 12-passenger model was made available in 1941, but demand was halted when Canada entered World War II.	Новая 12-пассажирская модель была доступна в 1941 году, но спрос упал, когда Канада вступила во Вторую Мировую войну.	World Wars
A new, profoundly revised Soviet copyright law was passed in 1991, but the Soviet Union was dissolved before it could enter in force.	Новый, глубоко пересмотренный советский закон об авторском праве был принят в 1991 году, но СССР прекратил своё существование до момента вступления этого закона в силу.	Copyright
A number of his paintings were recovered after World War II and have been sold at auctions for tens of thousands of dollars.	После Второй мировой войны некоторые его картины были обнаружены и проданы на аукционах за десятки тысяч долларов.	World Wars
A reduced fear of persecution encouraged the resistance movements; anti-integration protests accompanied high-profile visits to East Timor including that of Pope John Paul II in 1989.	Снижение страха преследования вдохновило движения сопротивления; антиинтеграционные протесты сопровождали каждый приезд высокопоставленных лиц в Восточный Тимор, включая приезд папы Иоанна Павла II в 1989 году.	Vatican
A set of regions representing approximately 1% (30 Mb) of the human genome was selected as the target for the pilot project and was analyzed by all ENCODE pilot project investigators.	Набор участков, составляющий примерно 1 % (30 Mb) генома человека, был выбран в качестве мишени для начальной фазы проекта и анализировался всеми участниками пилотной фазы проекта.	Medical
A significant number of Romanian workers, particularly engineers, are employed in the oil and construction industries in Saudi Arabia.	Достаточно большое количество румынской рабочей силы, особенно инженеров, заняты в нефтяной и строительной промышленности в Саудовской Аравии.	Arab world
A significant upturn began only after the Second World War, at the end of which wine was still cultivated on only 2737 hectares.	Резкий подъём виноградарства возобновился только после окончания Второй мировой войны, в конце которой виноградники занимали только 2737 га.	World Wars
A slow process of liberalization began after the Second World War in English Canada.	Процесс либерализации начался в английской Канаде после Второй мировой войны.	World Wars
A small increased risk of raised blood sugar levels and the development of type 2 diabetes have been reported with the use of statins.	Небольшое увеличение риска повышенного уровня сахара в крови и развития сахарного диабета 2 типа были зарегистрированы с использованием статинов.	Medical
A small number of Crimean Tatar refugees from the USSR joined the diaspora in Turkey after World War II, and a small number migrated from Romania and Bulgaria to Turkey after the decline of communism.	Небольшое количество крымскотатарских беженцев из СССР пополняли диаспору в Турции после Второй мировой войны, другая часть мигрировала в Турцию из Румынии и Болгарии после установления там коммунистической режима.	World Wars
A special revival of the life of the St. Petersburg University was different in the late 1850s.	Особым оживлением жизнь Санкт-Петербургского университета отличалась в конце 1850-х годов.	Russia
A street in Amaliada's west side is named Hiroshima in memory of the victims of the nuclear destruction of Hiroshima at the end of World War II.	В западной части города есть улица Хиросимы, названная в память о жертвах атомной бомбардировки Хиросимы во время Второй мировой войны.	World Wars
A survey in Boston just prior to World War I concluded that three million condoms were sold in that city every year.	Опрос, проведённый в Бостоне перед Первой мировой войной, показал, что в этом городе продаются три миллиона презервативов в год.	World Wars
A week after the Congress, the Second World War started.	Через неделю после закрытия конгресса началась Вторая мировая война.	World Wars
A well-known example of enemy aliens were the Japanese citizens residing in the United States during World War II.	Хрестоматийным примером граждан враждебных государств являются японские граждане, проживавшие в США во время Второй мировой войны.	World Wars
Abraham Crijnssen was returned to RNN service on 5 May 1943, but remained in Australian waters for most of World War II.	«Абрахам Крийнссен» вернулся обратно на службу в Королевские военно-морские силы Нидерландов 5 мая 1943 года, но оставался в австралийских водах оставшуюся часть Второй мировой войны.	World Wars
According to American and Jordanian officials, weapons shipped into Jordan by the CIA and Saudi Arabia were stolen by Jordanian intelligence officials in the General Intelligence Directorate (Jordan) and sold on the black market.	По словам американских и иорданских официальных лиц, часть оружия, отправленного в Иорданию ЦРУ и Саудовской Аравией, было украдено должностными лицами иорданской разведки в Главном разведывательном управлении (Иордания) и продано на чёрном рынке.	Arab world
According to Dandolos's own testimony in Gambling Secrets of Nick the Greek, just before the end of World War II, he got a call from a friend at the United States State Department.	Согласно собственному свидетельству Дандолоса в книге Секреты игры Ника Грека (Gambling Secrets of Nick the Greek), перед самым концом Второй мировой войны, ему позвонил друг из Госдепартамента США.	World Wars
According to Noble the Vorkuta camp and many others nearby had been previously taken over by the inmates, including 400 purged Soviet ex-World War II military men who opted to desperately march their way several hundred miles west to Finland.	По словам Нобла, лагерь в Воркуте и многие другие находящиеся поблизости, тоже были ранее захвачены заключенными, в числе которых было 400 бывших участников Великой Отечественной войны, которые решились на отчаянный марш в несколько сотен километров на Запад к Финляндии.	World Wars
According to The National, Vanga predicted that a World War III would start in November 2010 and last until October 2014.	Ванга якобы предсказывала, что Третья мировая война начнётся в ноябре 2010 года, а закончится в октябре 2014 года.	World Wars
"According to US copyright law the copyright notice must be affixed and positioned to give ""reasonable notice of the claim of copyright""."	В соответствии с законом США об авторском праве уведомление об авторских правах должны быть выполнено так, чтобы дать «разумное уведомление о претензии на авторское право».	Copyright
"According to V. Kraevsky, senior investigator for especially important cases of the FSB Directorate for St. Petersburg and the Leningrad Region, ""the very scheme of the crime was simple and banal."	По словам В. Краевского, старшего следователя по особо важным делам Управления ФСБ по Санкт-Петербургу и Ленинградской области, «сама схема преступления была довольно простой и банальной.	Russia
"According to a conversation in August 1939 before the outbreak of World War II, published in the British War Blue Book, Hitler told British ambassador Nevile Henderson, ""I am an artist and not a politician."	В беседе, произошедшей в августе 1939 года, перед самым началом Второй мировой войны, которая была опубликована в «Синей книге», Гитлер якобы сказал послу Великобритании Невиллу Хендерсону: «Я художник, а не политик.	World Wars
According to a recent book, Reflections on New Farm, published by the New Farm and Districts Historical Society the area was also a working site of convicts (lime kilns dating back to 1870 are still evident on the river banks) a marine base in World War II and home to many wealthy merchants and lawyers.	Согласно недавно вышедшей книге «Размышления о Нью-Фарм», опубликованной историческим обществом «Нью-Фарм и районы», этот район также являлся рабочей территорией для осужденных (на берегах реки до сих пор сохранились известковые печи, построенные в 1870 году), морской базой во Время Мировой Войны и домом для многих богатых торговцев и адвокатов.	World Wars
According to a secret decree of the Soviet Government by on May 13, 1946 the year the development of the rocket industry was launched in the USSR.	Согласно секретному постановлению Советского Правительства от 13 мая 1946 года в СССР было начато развитие ракетной отрасли.	Russia
According to an Israeli municipal planner, most Gilo land had been legally purchased by Jews before World War II, much of it during the 1930s, and that Jewish landowners had not relinquished their ownership of their land when the area was captured by the Jordanians in the 1948 War.	По данным израильского муниципального планировщика, большинство земель Гило земли было законно приобретено евреями до Второй Мировой Войны, большей частью в 1930-х годах, и что еврейские землевладельцы не отказались от своей собственности на землю, когда этот район был захвачен Иорданцами в 1948 году.	World Wars
According to the agreement between the U.K. and Saudi Arabia, he must serve at least 20 years before he can be released.	В соответствии с соглашением, заключённым между Великобританией и этой страной, принц должен отбыть не менее 20 лет тюрьмы прежде, чем может быть освобождён.	Arab world
According to the decision of the Soviet Government, in the summer of 1947 all the Japanese people were repatriated from the Kuril Islands to Hokkaido, Japan.	По решению советского правительства все японское население летом 1947 года было переселено с Курильских островов в Японию, на Хоккайдо.	Russia
According to the museum, the number of visitors to the St. Petersburg branch in 2016 totalled 23 000 people, which is 9% more than in 2015.	По данным музея, число посетителей петербургского филиала в 2016 году составило 23 000 человек, что на 9 % больше, чем в 2015 году.	Russia
According to the rating of public universities in Russia in 2010 RSHU ranked 141 out of 1,527 Russian universities in the overall rankings, 23 out of 94 universities of St. Petersburg.	По результатам рейтинга государственных вузов России в 2010 году РГГМУ занял 141 место из 1527 российских вузов в общем рейтинге, 23 место из 94 вузов Санкт-Петербурга.	Russia
Accordingly, unemployment increased slightly by 2% in the 2 years following the end of World War II.	Соответственно, уровень безработицы незначительно увеличился до 2% в течение двух лет после окончания Второй мировой войны.	World Wars
Adeno-associated virus-based vectors are much safer in this respect as they always integrate at the same site in the human genome, with applications in various disorders, such as Alzheimer's disease.	Векторы, основанные на аденоассоциированных вирусах , намного безопаснее в этом отношении, поскольку они всегда интегрируются в одном и том же месте в геноме человека, применяя при различных расстройствах, таких как болезнь Альцгеймера .	Medical
"Adopting the alias of ""Baron Blood,"" the character allies with Germany during World War I and without either party realizing the identity of the other, battles his own brother, who is now the English hero Union Jack."	Приняв псевдоним Кровавый Барон, персонаж союзничает с Германией во время Первой мировой войны и без какой-либо из сторон, понимая личности других, сражается против своего собственного брата, который является теперь английским героем Юнионом Джеком.	World Wars
After 1958, Pope John XXIII added gold buckles to the outdoor papal shoes, making them similar to the red shoes worn by cardinals outside of Rome.	После 1958 года, папа римский Иоанн XXIII добавил золотые пряжки к наружным папским ботинкам, делая их подобными красным ботинкам, носимыми кардиналами вне Рима.	Vatican
After Ethiopia, Bruno also participated in the Spanish Civil War and World War II.	После войны в Эфиопии Бруно также участвовал в Гражданской войне в Испании и Второй мировой войне.	World Wars
After Hitler gained power in Germany in 1933, MI6 circulated a report stating that the French secret service had discovered documents in the princess's flat in Paris that ordered her to persuade Lord Rothermere to campaign for the return to Germany of territory ceded to Poland at the end of First World War.	После того, как Гитлер получил власть в Германии в 1933 году, МИ-6 опубликовала доклад, в котором утверждалось, что французские спецслужбы обнаружили документы в квартире принцессы в Париже, в которых её просили уговорить лорда Ротермира начать кампанию в прессе по возвращению Германии части территорий, отошедших к Польше в конце Первой мировой войны.	World Wars
After Italy entered World War I in 1915, he devoted his efforts to designing and constructing bombers.	После того, как Италия вступила в Первую мировую войну в 1915 году, он посвятил свои усилия разработке и созданию бомбардировщиков.	World Wars
After Lithuania declared independence in 1990, the seminary reacquired its former buildings, which were restored before the visit of Pope John Paul II in 1993.	После провозглашения Литвой в 1990 году независимости семинарии вернули её бывшие здания, они были восстановлены к визиту в Литву папы римского Иоанна Павла II в 1993 году.	Vatican
After Stalin's death, Kosior was rehabilitated by the Soviet government on 14 March 1956.	После смерти Сталина Косиор был реабилитирован советским правительством 14 марта 1956 года.	Russia
"After World War 2 Robert Ambelain created a new ""Martinist Order of the Élus Cohen"" as a revival of the Order of Pasqually."	После Второй Мировой войны Робер Амбелен создал новый «Мартинистский Орден Избранных Коэнов», возродив орден Паскуалли.	World Wars
After World War I and the Versailles Treaty, Morgan Guaranty managed Germany's reparation payments.	После Первой мировой войны и Версальского договора «Morgan Guaranty» управлял немецкими платежами по возмещению ущерба.	World Wars
"After World War I at the beginning of the 1920s, he started to publish his own stamp journal, ""Die Postmarke"", which soon became one of the most important philatelic journals in the world."	После Первой мировой войны, в начале 1920-х годов он начал издавать собственный филателистический журнал, нем. «Die Postmarke» («Почтовая марка»), который вскоре стал одним из самых важных филателистических журналов в мире.	World Wars
After World War I the Commonwealth National Library (later National Library of Australia) was responsible for collecting Australian Government records.	После Первой мировой войны Национальная библиотека Содружества (позже Национальная библиотека Австралии) отвечала за сбор австралийских правительственных документов.	World Wars
After World War I the Little Alföld was divided between Hungary, Czechoslovakia and Austria.	После Первой мировой войны Кишальфёльд был разделён между Венгрией, Чехословакией и Австрией.	World Wars
After World War I the cemetery again became overcrowded.	После Первой мировой войны кладбище снова оказались переполненным.	World Wars
After World War I the duke had to relinquish his rights because he was a German citizen.	После Первой мировой войны герцог был вынужден отказаться от своих прав, поскольку являлся гражданином Германии.	World Wars
After World War I, Americans brought their foxtrot and blues dance steps to Paris, where Parisian dance teachers observed and described the variations.	После Первой мировой войны американцы привозят в Париж свои вариации шагов фокстрота и блюза, где парижские учителя танцев изучают и записывают их.	World Wars
After World War I, Bahrain became open to western influences, and a demand for modern educational institutions appeared.	После Первой мировой войны Бахрейн стал открыт западному влиянию, что породило спрос на современные образовательные учреждения.	World Wars
After World War I, Fiat consolidated several Italian small aircraft manufacturers, like Pomilio and Ansaldo.	После первой мировой войны Fiat объединил несколько небольших итальянских авиапроизводителей, таких как Pomilio, Ansaldo и др.	World Wars
After World War I, Fiat jumped from 30th to third place among Italian industrial companies.	После первой мировой войны компания вскочила с 30-го на третье место среди итальянских промышленных компаний.	World Wars
After World War I, German geography tried to contribute to efforts to regain a world power.	После Первой мировой войны немецкая география пыталась внести свой вклад в восстановление мировой державы.	World Wars
After World War I, Rogowski returned to Aachen, in 1920, and became an ordinarius professor for theoretical electro-technology and director of the Institute for Electro-Technology.	После Первой мировой войны, в 1920 году, Роговский возвращается в Ахен, и становится профессором кафедры теоретических основ электротехники и директором Института Электротехнологий.	World Wars
After World War I, Tanganyika was handed over to the United Kingdom for administration as a League of Nations Mandate, and British colonial authorities again explored the idea.	После Первой мировой войны Танганьика была передана Великобритании по мандату Лиги Наций, и британские колониальные власти вновь вернулись к этой идее.	World Wars
After World War I, during the negotiations of the Treaty of Versailles, the German government claimed that, without Upper Silesia, it would not be able to fulfill its obligations with regard to reparations to the Allies.	По окончании Первой мировой войны, в ходе обсуждения Версальского мирного договора, германское правительство объявило, что без Верхней Силезии оно будет не в состоянии выполнять свои обязательства по выплате репараций Союзникам.	World Wars
After World War I, he traveled throughout the Middle East, treating venereal disease and operating an X-ray facility in Lod, Israel.	После Первой мировой войны он путешествовал по всему Ближнему Востоку, занимаясь лечением венерических заболеваний и работая на рентгеновском аппарате в Лоде, современный Израиль.	World Wars
After World War I, he was one of the leaders of the FVdG in the Ruhr region and helped re-build the organization.	После Первой мировой войны Виндхофф был одним из лидеров FVdG а Рурском регионе и помогал восстанавливать организацию.	World Wars
After World War I, he worked as an auto mechanic in Milan.	После Первой Мировой Войны, он работал автомехаником в Милане.	World Wars
After World War I, regimental traditions were carried forward in the Reichswehr and its successor, the Wehrmacht, but the chain of tradition was broken in 1945 as West German and East German units did not carry forward pre-1945 traditions.	После Первой мировой войны полковые традиции продвигались в рейхсвере и его преемнике, вермахте, но цепь традиций была сломана в 1945 году, поскольку западногерманские и восточногерманские войска перестали поддерживать старые традиции.	World Wars
After World War I, the Polish Corridor provided access to the Baltic Sea, but the Free City of Danzig was not granted to Poland.	После Первой мировой войны польский коридор обеспечивал доступ к Балтийскому морю, но Вольный город Данциг не был предоставлен Польше.	World Wars
After World War I, the availability of labour and proximity to London made areas such as Hayes and Park Royal ideal locations for the developing new industries.	После первой мировой войны наличие рабочей силы, а также близость к Лондону привели к тому, что такие области как Хэис и Парк-Рояль стали идеальными местами для развития новых технологий.	World Wars
"After World War I, the term ""yellow socialism"" fell into disuse."	После Первой мировой войны термин «жёлтый социализм» перестал использоваться.	World Wars
After World War I, when Hungary lost most of its territory, the university was re-established in 1923 from Elisabeth (Erzsébet) University which escaped from the city of Pozsony (Bratislava, presently the capital city of Slovakia).	После Первой мировой войны, когда Венгрия потеряла большую часть своей территории, университет был восстановлен в 1923 году из университета Элизабет (Эрзебет), который сбежал из города Пожонь (Братислава, ныне столица Словакии).	World Wars
After World War I, with Lorraine restored to France, the company restarted manufacture of automobiles and aero-engines.	После Первой мировой войны, с восстановлением Лорен во Франции, компания возобновила производство автомобилей и авиационных двигателей.	World Wars
After World War II Alvaro returned to Italy.	После Второй мировой войны Альваро вернулся в Италию.	World Wars
After World War II German and Jewish clubs were not re-established.	После Второй мировой войны немецкие и еврейские клубы не восстановились.	World Wars
After World War II and the Korean War, a partial restoration was conducted in 1966.	После Второй мировой войны и Корейской войны, в 1966 году, началась частичная реставрация храма.	World Wars
After World War II began, Woolf's diary indicates that she was obsessed with death, which figured more and more as her mood darkened.	После окончания Второй мировой войны дневник Вулф указывает на то, что она была одержима смертью и её настроение омрачалось всё больше.	World Wars
